"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Kokchetavite","Kokchetavite","Kazakhstan"
"Kokinosite","Kokinosite","USA"
"Koksharovite","Koksharovite","Russia"
"Koktaite","Koktaite","Czech Republic"
"Kolarite","Kolarite","India"
"Kolbeckite","Kolbeckite","Germany"
"Kolfanite","Kolfanite","Russia"
"Kolicite","Kolicite","USA"
"Kolitschite","Kolitschite","Australia"
"Kollerite","Kollerite","Hungary"
"Kolovratite","Kolovratite","Kyrgyzstan"
"Kolskyite","Kolskyite","Russia"
"Kolwezite","Kolwezite","Democratic Republic of the Congo"
"Kolymite","Kolymite","Russia"
"Komarovite","Komarovite","Russia"
"Kombatite","Kombatite","Namibia"
"Komkovite","Komkovite","Russia"
"Konderite","Konderite","Russia"
"Koninckite","Koninckite","Belgium"
"Kononovite","Kononovite","Russia"
"Konyaite","Konyaite","Turkey"
"Koragoite","Koragoite","Tajikistan"
"Koritnigite","Koritnigite","Namibia"
"Kornelite","Kornelite","Slovakia"
"Kornerupine","Kornerupine","Denmark (Greenland)"
"Korobitsynite","Korobitsynite","Russia"
"Korshunovskite","Korshunovskite","Russia"
"Koryakite","Koryakite","Russia"
"Korzhinskite","Korzhinskite","Russia"
"Kosmochlor","Kosmochlor","Mexico"
"Kosnarite","Kosnarite","USA"
"Kostovite","Kostovite","Bulgaria"
"Kostylevite","Kostylevite","Russia"
"Kotoite","Kotoite","North Korea"
"Kottenheimite","Kottenheimite","Germany"
"Köttigite","Kottigite","Germany"
"Kotulskite","Kotulskite","Russia"
"Koutekite","Koutekite","Czech Republic"
"Kovdorskite","Kovdorskite","Russia"
"Kozłowskiite","Kozlowskiite","Poland"
"Kozoite-(La)","Kozoite-(La)","Japan"
"Kozoite-(Nd)","Kozoite-(Nd)","Japan"
"Kozyrevskite","Kozyrevskite","Russia"
"Kraisslite","Kraisslite","USA"
"Krasheninnikovite","Krasheninnikovite","Russia"
"Krásnoite","Krasnoite","Czech Republic / USA"
"Krasnoshteinite","Krasnoshteinite","Russia"
"Krasnovite","Krasnovite","Russia"
"Kratochvílite","Kratochvilite","Czech Republic"
"Krausite","Krausite","USA"
"Krauskopfite","Krauskopfite","USA"
"Krautite","Krautite","Romania"
"Kravtsovite","Kravtsovite","Russia"
"Kreiterite","Kreiterite","Tajikistan"
"Kremersite","Kremersite","Italy"
"Krennerite","Krennerite","Romania"
"Krettnichite","Krettnichite","Germany"
"Kribergite","Kribergite","Sweden"
"Krieselite","Krieselite","Namibia"
"Krinovite","Krinovite","USA (meteorite)"
"Kristiansenite","Kristiansenite","Norway"
"Kristjánite","Kristjanite","Iceland"
"Krivovichevite","Krivovichevite","Russia"
"Kröhnkite","Krohnkite","Chile"
"Krotite","Krotite","Morocco (meteorite)"
"Kroupaite","Kroupaite","Czech Republic"
"Kruijenite","Kruijenite","Germany"
"Krupičkaite","Krupickaite","Czech Republic"
"Krupkaite","Krupkaite","Czech Republic"
"Krut'aite","Krutaite","Czech Republic"
"Krutovite","Krutovite","Czech Republic"
"Kryachkoite","Kryachkoite","Russia (meteorite)"
"Kryzhanovskite","Kryzhanovskite","Kazakhstan"
"Ktenasite","Ktenasite","Greece"
"Kuannersuite-(Ce)","Kuannersuite-(Ce)","Denmark (Greenland)"
"Kudriavite","Kudriavite","Russia"
"Kudryavtsevaite","Kudryavtsevaite","Botswana"
"Kufahrite","Kufahrite","Russia"
"Kukharenkoite-(Ce)","Kukharenkoite-(Ce)","Canada / Russia"
"Kukharenkoite-(La)","Kukharenkoite-(La)","Russia"
"Kukisvumite","Kukisvumite","Russia"
"Kuksite","Kuksite","Russia"
"Kulanite","Kulanite","Canada"
"Kuliginite","Kuliginite","Russia"
"Kuliokite-(Y)","Kuliokite-(Y)","Russia"
"Kulkeite","Kulkeite","Algeria"
"Kullerudite","Kullerudite","Finland"
"Kumdykolite","Kumdykolite","Kazakhstan"
"Kummerite","Kummerite","Germany"
"Kumtyubeite","Kumtyubeite","Russia"
"Kunatite","Kunatite","Australia"
"Kupčíkite","Kupcikite","Austria"
"Kupletskite","Kupletskite","Russia"
"Kupletskite-(Cs)","Kupletskite-(Cs)","Tajikistan"
"Kuramite","Kuramite","Uzbekistan"
"Kuranakhite","Kuranakhite","Russia"
"Kuratite","Kuratite","Argentina (meteorite)"
"Kurchatovite","Kurchatovite","Russia"
"Kurgantaite","Kurgantaite","Kazakhstan"
"Kurilite","Kurilite","Russia"
"Kurnakovite","Kurnakovite","Kazakhstan"
"Kurumsakite","Kurumsakite","Kazakhstan"
"Kusachiite","Kusachiite","Japan"
"Kushiroite","Kushiroite","Antarctica (meteorite)"
"Kutinaite","Kutinaite","Czech Republic"
"Kutnohorite","Kutnohorite","Czech Republic"
"Kuvaevite","Kuvaevite","Russia"
"Kuzelite","Kuzelite","Germany"
"Kuzmenkoite-Mn","Kuzmenkoite-Mn","Russia"
"Kuzmenkoite-Zn","Kuzmenkoite-Zn","Russia"
"Kuzminite","Kuzminite","Russia"
"Kuznetsovite","Kuznetsovite","Kyrgyzstan / Russia"
"Kvanefjeldite","Kvanefjeldite","Denmark (Greenland)"
"Kyanite","Kyanite","Austria"
"Kyanoxalite","Kyanoxalite","Russia"
"Kyawthuite","Kyawthuite","Myanmar"
"Kyrgyzstanite","Kyrgyzstanite","Kyrgyzstan"
"Kyzylkumite","Kyzylkumite","Uzbekistan"
"Laachite","Laachite","Germany"
"Labuntsovite-Fe","Labuntsovite-Fe","Russia"
"Labuntsovite-Mg","Labuntsovite-Mg","Russia"
"Labuntsovite-Mn","Labuntsovite-Mn","Russia"
"Labyrinthite","Labyrinthite","Russia"
"Lacroixite","Lacroixite","Germany"
"Laffittite","Laffittite","France"
"Laflammeite","Laflammeite","Finland"
"Laforêtite","Laforetite","France"
"Lafossaite","Lafossaite","Italy"
"Lagalyite","Lagalyite","Germany"
"Lahnsteinite","Lahnsteinite","Germany"
"Laihunite","Laihunite","China"
"Laitakarite","Laitakarite","Finland"
"Lakargiite","Lakargiite","Russia"
"Lakebogaite","Lakebogaite","Australia"
"Lalondeite","Lalondeite","Canada"
"Lammerite","Lammerite","Bolivia"
"Lamprophyllite","Lamprophyllite","Russia"
"Lanarkite","Lanarkite","United Kingdom"
"Landauite","Landauite","Russia"
"Landesite","Landesite","USA"
"Långbanite","Langbanite","Sweden"
"Långbanshyttanite","Langbanshyttanite","Sweden"
"Langbeinite","Langbeinite","Germany"
"Langhofite","Langhofite","Sweden"
"Langisite","Langisite","Canada"
"Langite","Langite","United Kingdom"
"Lanmuchangite","Lanmuchangite","China"
"Lannonite","Lannonite","USA"
"Lansfordite","Lansfordite","USA"
"Lanthanite-(Ce)","Lanthanite-(Ce)","United Kingdom"
"Lanthanite-(La)","Lanthanite-(La)","Sweden"
"Lanthanite-(Nd)","Lanthanite-(Nd)","Brazil"
"Lapeyreite","Lapeyreite","France"
"Laphamite","Laphamite","USA"
"Lapieite","Lapieite","Canada"
"Laplandite-(Ce)","Laplandite-(Ce)","Russia"
"Laptevite-(Ce)","Laptevite-(Ce)","Tajikistan"
"Larderellite","Larderellite","Italy"
"Larisaite","Larisaite","USA"
"Larnite","Larnite","United Kingdom"
"Larosite","Larosite","Canada"
"Larsenite","Larsenite","USA"
"Lasalite","Lasalite","USA"
"Lasmanisite","Lasmanisite","USA"
"Lasnierite","Lasnierite","Madagascar"
"Latiumite","Latiumite","Italy"
"Latrappite","Latrappite","Canada"
"Laueite","Laueite","Germany"
"Laumontite","Laumontite","France"
"Launayite","Launayite","Canada"
"Lauraniite","Lauraniite","Bolivia"
"Laurelite","Laurelite","USA"
"Laurentianite","Laurentianite","Canada"
"Laurentthomasite","Laurentthomasite","Madagascar"
"Laurionite","Laurionite","Greece"
"Laurite","Laurite","Indonesia"
"Lausenite","Lausenite","USA"
"Lautarite","Lautarite","Chile"
"Lautenthalite","Lautenthalite","Germany"
"Lautite","Lautite","Germany"
"Lavendulan","Lavendulan","Czech Republic"
"Låvenite","Lavenite","Norway"
"Laverovite","Laverovite","Canada"
"Lavinskyite","Lavinskyite","South Africa"
"Lavoisierite","Lavoisierite","Italy"
"Lavrentievite","Lavrentievite","Russia"
"Lawrencite","Lawrencite","USA"
"Lawsonbauerite","Lawsonbauerite","USA"
"Lawsonite","Lawsonite","USA"
"Lazaraskeite","Lazaraskeite","USA"
"Lazarenkoite","Lazarenkoite","Russia"
"Lazaridisite","Lazaridisite","Greece"
"Lazerckerite","Lazerckerite","Czech Republic"
"Lazulite","Lazulite","Austria"
"Lazurite","Lazurite","Afghanistan / Russia"
"Lead","Lead","unknown"
"Leadamalgam","Leadamalgam","China"
"Leadhillite","Leadhillite","United Kingdom"
"Lechatelierite","Lechatelierite","Niger"
"Lecontite","Lecontite","Honduras"
"Lecoqite-(Y)","Lecoqite-(Y)","Canada"
"Leesite","Leesite","USA"
"Lefontite","Lefontite","Brazil"
"Legrandite","Legrandite","Mexico"
"Leguernite","Leguernite","Italy"
"Lehmannite","Lehmannite","Russia"
"Lehnerite","Lehnerite","Germany"
"Leifite","Leifite","Denmark (Greenland)"
"Leightonite","Leightonite","Chile"
"Leisingite","Leisingite","USA"
"Leiteite","Leiteite","Namibia"
"Lemanskiite","Lemanskiite","Chile"
"Lemmleinite-Ba","Lemmleinite-Ba","Russia"
"Lemmleinite-K","Lemmleinite-K","Russia"
"Lemoynite","Lemoynite","Canada"
"Lenaite","Lenaite","Russia"
"Lengenbachite","Lengenbachite","Switzerland"
"Leningradite","Leningradite","Russia"
"Lennilenapeite","Lennilenapeite","USA"
"Lenoblite","Lenoblite","Gabon"
"Leogangite","Leogangite","Austria"
"Leonardsenite","Leonardsenite","Iceland"
"Leonite","Leonite","Germany"
"Leószilárdite","Leoszilardite","USA"
"Lepageite","Lepageite","Poland"
"Lepersonnite-(Gd)","Lepersonnite-(Gd)","Democratic Republic of the Congo"
"Lepersonnite-(Nd)","Lepersonnite-(Nd)","Democratic Republic of the Congo"
"Lepidocrocite","Lepidocrocite","Czech Republic"
"Lepkhenelmite-Zn","Lepkhenelmite-Zn","Russia"
"Lermontovite","Lermontovite","Russia"
"Letnikovite-(Ce)","Letnikovite-(Ce)","Tajikistan"
"Letovicite","Letovicite","Czech Republic"
"Leucite","Leucite","Italy"
"Leucophanite","Leucophanite","Norway"
"Leucophoenicite","Leucophoenicite","USA"
"Leucophosphite","Leucophosphite","Australia"
"Leucosphenite","Leucosphenite","Denmark (Greenland)"
"Leucostaurite","Leucostaurite","Chile"
"Levantite","Levantite","Israel"
"Leverettite","Leverettite","Chile"
"Levinsonite-(Y)","Levinsonite-(Y)","USA"
"Lévyclaudite","Levyclaudite","Greece"
"Lévyne-Ca","Levyne-Ca","Denmark (Faroe Islands)"
"Lévyne-Na","Levyne-Na","Japan"
"Leydetite","Leydetite","France"
"Lianbinite","Lianbinite","USA"
"Liandratite","Liandratite","Madagascar"
"Liangjunite","Liangjunite","USA"
"Libbyite","Libbyite","USA"
"Liberite","Liberite","China"
"Libethenite","Libethenite","Slovakia"
"Liebauite","Liebauite","Germany"
"Liebenbergite","Liebenbergite","South Africa"
"Liebermannite","Liebermannite","Nigeria (meteorite)"
"Liebigite","Liebigite","Turkey"
"Liguowuite","Liguowuite","China"
"Likasite","Likasite","Democratic Republic of the Congo"
"Lileyite","Lileyite","Germany"
"Lillianite","Lillianite","USA"
"Lime","Lime","Italy"
"Limousinite","Limousinite","France"
"Linarite","Linarite","Spain"
"Lindackerite","Lindackerite","Czech Republic"
"Lindbergite","Lindbergite","Brazil"
"Lindgrenite","Lindgrenite","Chile"
"Lindqvistite","Lindqvistite","Sweden"
"Lindsleyite","Lindsleyite","South Africa"
"Lindströmite","Lindstromite","Sweden"
"Línekite","Linekite","Czech Republic"
"Lingbaoite","Lingbaoite","China"
"Lingunite","Lingunite","China (meteorite)"
"Linnaeite","Linnaeite","Sweden"
"Lintisite","Lintisite","Russia"
"Linzhiite","Linzhiite","China"
"Liottite","Liottite","Italy"
"Lipscombite","Lipscombite","Brazil"
"Lipuite","Lipuite","South Africa"
"Liraite","Liraite","Argentina"
"Liroconite","Liroconite","United Kingdom"
"Lisanite","Lisanite","Israel"
"Lisetite","Lisetite","Norway"
"Lishizhenite","Lishizhenite","China"
"Lisiguangite","Lisiguangite","China"
"Lisitsynite","Lisitsynite","Russia"
"Liskeardite","Liskeardite","United Kingdom"
"Lislkirchnerite","Lislkirchnerite","Argentina"
"Litharge","Litharge","USA"
"Lithiomarsturite","Lithiomarsturite","USA"
"Lithiophilite","Lithiophilite","USA"
"Lithiophorite","Lithiophorite","Germany"
"Lithiophosphate","Lithiophosphate","Russia"
"Lithiotantite","Lithiotantite","Kazakhstan"
"Lithiowodginite","Lithiowodginite","Kazakhstan"
"Lithosite","Lithosite","Russia"
"Litidionite","Litidionite","Italy"
"Litochlebite","Litochlebite","Czech Republic"
"Litvinskite","Litvinskite","Russia"
"Liudongshengite","Liudongshengite","USA"
"Liuite","Liuite","India (meteorite)"
"Liveingite","Liveingite","Switzerland"
"Liversidgeite","Liversidgeite","Australia"
"Livingstonite","Livingstonite","Mexico"
"Lizardite","Lizardite","United Kingdom"
"Llantenesite","Llantenesite","Argentina"
"Lobanovite","Lobanovite","Russia"
"Lokkaite-(Y)","Lokkaite-(Y)","Finland"
"Löllingite","Lollingite","Austria"
"Lombardoite","Lombardoite","Italy"
"Lomonosovite","Lomonosovite","Russia"
"Londonite","Londonite","Madagascar"
"Lonecreekite","Lonecreekite","South Africa"
"Lonsdaleite","Lonsdaleite","USA"
"Loomisite","Loomisite","USA"
"Loparite-(Ce)","Loparite-(Ce)","Russia"
"Lopatkaite","Lopatkaite","Canada"
"Lópezite","Lopezite","Chile"
"Lorándite","Lorandite","North Macedonia"
"Loranskite-(Y)","Loranskite-(Y)","Russia"
"Lorenzenite","Lorenzenite","Denmark (Greenland)"
"Loseyite","Loseyite","USA"
"Lotharmeyerite","Lotharmeyerite","Mexico"
"Loudounite","Loudounite","USA"
"Loughlinite","Loughlinite","USA"
"Louisfuchsite","Louisfuchsite","Northwest Africa (meteorite)"
"Lourenswalsite","Lourenswalsite","USA"
"Lovdarite","Lovdarite","Russia"
"Loveringite","Loveringite","Australia"
"Lovozerite","Lovozerite","Russia"
"Löweite","Loweite","Austria"
"Luanheite","Luanheite","China"
"Luanshiweiite","Luanshiweiite","China"
"Luberoite","Luberoite","Democratic Republic of the Congo"
"Luboržákite","Luborzakite","Russia"
"Lucabindiite","Lucabindiite","Italy"
"Lucasite-(Ce)","Lucasite-(Ce)","Australia"
"Lucchesiite","Lucchesiite","Sri Lanka / Czech Republic"
"Luddenite","Luddenite","USA"
"Ludjibaite","Ludjibaite","Democratic Republic of the Congo"
"Ludlamite","Ludlamite","United Kingdom"
"Ludlockite","Ludlockite","Namibia"
"Ludwigite","Ludwigite","Romania"
"Lueshite","Lueshite","Democratic Republic of the Congo"
"Luetheite","Luetheite","USA"
"Lukechangite-(Ce)","Lukechangite-(Ce)","Canada"
"Lukkulaisvaaraite","Lukkulaisvaaraite","Russia"
"Lukrahnite","Lukrahnite","Namibia"
"Lulzacite","Lulzacite","France"
"Lumsdenite","Lumsdenite","USA"
"Lüneburgite","Luneburgite","Germany"
"Lunijianlaite","Lunijianlaite","China"
"Lun'okite","Lunokite","Russia"
"Luobusaite","Luobusaite","China"
"Luogufengite","Luogufengite","USA"
"Lusernaite-(Y)","Lusernaite-(Y)","Italy"
"Lussierite","Lussierite","USA"
"Luxembourgite","Luxembourgite","Luxembourg"
"Luzonite","Luzonite","Philippines"
"Lyonsite","Lyonsite","El Salvador"
"Macaulayite","Macaulayite","United Kingdom"
"Macdonaldite","Macdonaldite","USA"
"Macedonite","Macedonite","North Macedonia"
"Macfallite","Macfallite","USA"
"Machatschkiite","Machatschkiite","Germany"
"Machiite","Machiite","Australia (meteorite)"
"Mackayite","Mackayite","USA"
"Mackinawite","Mackinawite","USA"
"Macphersonite","Macphersonite","United Kingdom"
"Macquartite","Macquartite","USA"
"Madeiraite","Madeiraite","Portugal"
"Madocite","Madocite","Canada"
"Magadiite","Magadiite","Kenya"
"Magbasite","Magbasite","China"
"Magganasite","Magganasite","Russia"
"Maghagendorfite","Maghagendorfite","USA"
"Maghemite","Maghemite","South Africa"
"Maghrebite","Maghrebite","Morocco"
"Magnanelliite","Magnanelliite","Italy"
"Magnéliite","Magneliite","Israel"
"Magnesioalterite","Magnesioalterite","USA"
"Magnesio-arfvedsonite","Magnesio-arfvedsonite","Myanmar"
"Magnesioaubertite","Magnesioaubertite","Italy"
"Magnesiobeltrandoite-2<i>N</i>3<i>S</i>","Magnesiobeltrandoite-2N3S","Italy"
"Magnesiobermanite","Magnesiobermanite","Australia"
"Magnesiocanutite","Magnesiocanutite","Chile"
"Magnesiocarpholite","Magnesiocarpholite","France"
"Magnesiochloritoid","Magnesiochloritoid","Switzerland / Italy"
"Magnesiochlorophoenicite","Magnesiochlorophoenicite","USA"
"Magnesiochromite","Magnesiochromite","Germany"
"Magnesiocopiapite","Magnesiocopiapite","USA"
"Magnesiocoulsonite","Magnesiocoulsonite","Russia"
"Magnesiodumortierite","Magnesiodumortierite","Italy"
"Magnesio-dutrowite","Magnesio-dutrowite","Poland"
"Magnesio-ferri-fluoro-hornblende","Magnesio-ferri-fluoro-hornblende","Italy"
"Magnesio-ferri-hornblende","Magnesio-ferri-hornblende","China"
"Magnesioferrite","Magnesioferrite","Italy"
"Magnesiofluckite","Magnesiofluckite","Chile"
"Magnesio-fluoro-arfvedsonite","Magnesio-fluoro-arfvedsonite","Russia"
"Magnesio-fluoro-hastingsite","Magnesio-fluoro-hastingsite","Romania"
"Magnesio-foitite","Magnesio-foitite","Japan"
"Magnesio-hastingsite","Magnesio-hastingsite","Canada"
"Magnesiohatertite","Magnesiohatertite","Russia"
"Magnesiohögbomite-2<i>N</i>2S","Magnesiohogbomite-2N2S","Sweden"
"Magnesiohögbomite-2<i>N</i>3S","Magnesiohogbomite-2N3S","Tanzania"
"Magnesiohögbomite-2<i>N</i>4S","Magnesiohogbomite-2N4S","Antarctica"
"Magnesiohögbomite-6<i>N</i>12<i>S</i>","Magnesiohogbomite-6N12S","Canada"
"Magnesiohögbomite-6<i>N</i>6S","Magnesiohogbomite-6N6S","Tanzania"
"Magnesio-hornblende","Magnesio-hornblende","Namibia"
"Magnesiohulsite","Magnesiohulsite","China"
"Magnesiokoritnigite","Magnesiokoritnigite","Chile"
"Magnesioleydetite","Magnesioleydetite","USA"
"Magnesio-lucchesiite","Magnesio-lucchesiite","Canada"
"Magnesioneptunite","Magnesioneptunite","Russia"
"Magnesionigerite-2<i>N</i>1S","Magnesionigerite-2N1S","China"
"Magnesionigerite-6<i>N</i>6S","Magnesionigerite-6N6S","China"
"Magnesiopascoite","Magnesiopascoite","USA"
"Magnesioqingheiite","Magnesioqingheiite","Switzerland"
"Magnesio-riebeckite","Magnesio-riebeckite","Japan"
"Magnesiorowlandite-(Y)","Magnesiorowlandite-(Y)","Japan"
"Magnesiostaurolite","Magnesiostaurolite","Italy"
"Magnesiotaaffeite-2<i>N</i>'2S","Magnesiotaaffeite-2N2S","Sri Lanka"
"Magnesiotaaffeite-6<i>N</i>'3S","Magnesiotaaffeite-6N3S","Australia"
"Magnesiovesuvianite","Magnesiovesuvianite","North Macedonia"
"Magnesiovoltaite","Magnesiovoltaite","Chile"
"Magnesiozippeite","Magnesiozippeite","USA"
"Magnesite","Magnesite","Italy"
"Magnetite","Magnetite","?"
"Magnetoplumbite","Magnetoplumbite","Sweden"
"Magnioursilite","Magnioursilite","Tajikistan"
"Magnolite","Magnolite","USA"
"Magnussonite","Magnussonite","Sweden"
"Mahnertite","Mahnertite","France"
"Maikainite","Maikainite","Kazakhstan"
"Majakite","Majakite","Russia"
"Majindeite","Majindeite","Mexico (meteorite)"
"Majorite","Majorite","Australia"
"Majzlanite","Majzlanite","Russia"
"Makarochkinite","Makarochkinite","Russia"
"Makatite","Makatite","Kenya"
"Mäkinenite","Makinenite","Finland"
"Makotoite","Makotoite","China"
"Makovickyite","Makovickyite","Austria / Romania"
"Malachite","Malachite","unknown"
"Malanite","Malanite","China"
"Malayaite","Malayaite","Malaysia"
"Maldonite","Maldonite","Australia"
"Maleevite","Maleevite","Tajikistan"
"Maletoyvayamite","Maletoyvayamite","Russia"
"Malhmoodite","Malhmoodite","USA"
"Malinkoite","Malinkoite","Russia"
"Malladrite","Malladrite","Italy"
"Mallardite","Mallardite","USA"
"Mallestigite","Mallestigite","Austria"
"Malyshevite","Malyshevite","Russia"
"Mambertiite","Mambertiite","Italy"
"Mammothite","Mammothite","USA"
"Manaevite-(Ce)","Manaevite-(Ce)","Russia"
"Manaksite","Manaksite","Russia"
"Manandonite","Manandonite","Madagascar"
"Mandarinoite","Mandarinoite","Bolivia"
"Maneckiite","Maneckiite","Poland"
"Manganarsite","Manganarsite","Sweden"
"Manganbabingtonite","Manganbabingtonite","Russia"
"Manganbelyankinite","Manganbelyankinite","Russia"
"Manganberzeliite","Manganberzeliite","Sweden"
"Manganflurlite","Manganflurlite","Germany"
"Mangangordonite","Mangangordonite","USA"
"Manganhumite","Manganhumite","Sweden"
"Manganiakasakaite-(La)","Manganiakasakaite-(La)","Italy"
"Manganiandrosite-(Ce)","Manganiandrosite-(Ce)","Italy"
"Manganiandrosite-(La)","Manganiandrosite-(La)","Greece"
"Manganiceladonite","Manganiceladonite","Italy"
"Mangani-dellaventuraite","Mangani-dellaventuraite","India"
"Mangani-eckermannite","Mangani-eckermannite","Japan"
"Manganilvaite","Manganilvaite","Bulgaria"
"Mangani-obertiite","Mangani-obertiite","Germany"
"Mangani-pargasite","Mangani-pargasite","Sweden"
"Manganite","Manganite","Germany"
"Manganlotharmeyerite","Manganlotharmeyerite","Switzerland"
"Manganoarrojadite-(KNa)","Manganoarrojadite-(KNa)","USA"
"Manganobadalovite","Manganobadalovite","Russia"
"Manganoblödite","Manganoblodite","USA"
"Manganochromite","Manganochromite","Australia"
"Manganoeudialyte","Manganoeudialyte","Brazil"
"Mangano-ferri-eckermannite","Mangano-ferri-eckermannite","Japan"
"Manganohörnesite","Manganohornesite","Sweden"
"Manganokaskasite","Manganokaskasite","Russia"
"Manganokhomyakovite","Manganokhomyakovite","Canada"
"Manganokukisvumite","Manganokukisvumite","Canada"
"Manganolangbeinite","Manganolangbeinite","Italy"
"Mangano-mangani-ungarettiite","Mangano-mangani-ungarettiite","Australia"
"Manganonaujakasite","Manganonaujakasite","Russia"
"Manganoneptunite","Manganoneptunite","Russia"
"Manganonordite-(Ce)","Manganonordite-(Ce)","Russia"
"Manganoquadratite","Manganoquadratite","Peru"
"Manganoschafarzikite","Manganoschafarzikite","Sweden"
"Manganosegelerite","Manganosegelerite","Russia"
"Manganosite","Manganosite","Sweden"
"Manganostibite","Manganostibite","Sweden"
"Manganotychite","Manganotychite","Russia"
"Manganrockbridgeite","Manganrockbridgeite","Germany"
"Manganvesuvianite","Manganvesuvianite","South Africa"
"Mangazeite","Mangazeite","Russia"
"Manitobaite","Manitobaite","Canada"
"Manjiroite","Manjiroite","Japan"
"Mannardite","Mannardite","Canada"
"Mansfieldite","Mansfieldite","USA"
"Mantienneite","Mantienneite","Cameroon"
"Manuelarossiite","Manuelarossiite","Italy"
"Maohokite","Maohokite","China"
"Maoniupingite-(Ce)","Maoniupingite-(Ce)","China"
"Mapimite","Mapimite","Mexico"
"Mapiquiroite","Mapiquiroite","Italy"
"Marathonite","Marathonite","Canada"
"Marcasite","Marcasite","unknown"
"Marchettiite","Marchettiite","Italy"
"Marcobaldiite","Marcobaldiite","Italy"
"Marécottite","Marecottite","Switzerland"
"Margaritasite","Margaritasite","Mexico"
"Margarite","Margarite","Austria"
"Margarosanite","Margarosanite","USA"
"Mariakrite","Mariakrite","Israel"
"Marialite","Marialite","Italy"
"Marićite","Maricite","Canada"
"Maricopaite","Maricopaite","USA"
"Mariinskite","Mariinskite","Russia"
"Marinaite","Marinaite","Russia"
"Marinellite","Marinellite","Italy"
"Markascherite","Markascherite","USA"
"Markcooperite","Markcooperite","USA"
"Markeyite","Markeyite","USA"
"Markhininite","Markhininite","Russia"
"Marklite","Marklite","Germany"
"Marokite","Marokite","Morocco"
"Marrite","Marrite","Switzerland"
"Marrucciite","Marrucciite","Italy"
"Marshite","Marshite","Australia"
"Marsturite","Marsturite","USA"
"Marthozite","Marthozite","Democratic Republic of the Congo"
"Martinandresite","Martinandresite","Switzerland"
"Martinite","Martinite","Canada"
"Martyite","Martyite","USA"
"Marumoite","Marumoite","Switzerland"
"Maruyamaite","Maruyamaite","Kazakhstan"
"Masaitisite","Masaitisite","Russia"
"Mascagnite","Mascagnite","Italy"
"Maslovite","Maslovite","Russia"
"Massicot","Massicot","Germany"
"Masutomilite","Masutomilite","Japan"
"Masuyite","Masuyite","Democratic Republic of the Congo"
"Mathesiusite","Mathesiusite","Czech Republic"
"Mathewrogersite","Mathewrogersite","Namibia"
"Mathiasite","Mathiasite","South Africa"
"Matildite","Matildite","Peru"
"Matioliite","Matioliite","Brazil"
"Matlockite","Matlockite","United Kingdom"
"Matsubaraite","Matsubaraite","Japan"
"Mattagamite","Mattagamite","Canada"
"Matteuccite","Matteuccite","Italy"
"Mattheddleite","Mattheddleite","United Kingdom"
"Matthiasweilite","Matthiasweilite","USA"
"Matulaite","Matulaite","USA"
"Matyhite","Matyhite","Argentina"
"Maucherite","Maucherite","Germany"
"Mauriziodiniite","Mauriziodiniite","Chile"
"Maurogemmiite","Maurogemmiite","China"
"Mavlyanovite","Mavlyanovite","Uzbekistan"
"Mawbyite","Mawbyite","Australia"
"Mawsonite","Mawsonite","Australia"
"Maxwellite","Maxwellite","USA"
"Mayingite","Mayingite","China"
"Mazorite","Mazorite","Israel"
"Mazzettiite","Mazzettiite","USA"
"Mazzite-Mg","Mazzite-Mg","France"
"Mazzite-Na","Mazzite-Na","USA"
"Mbobomkulite","Mbobomkulite","South Africa"
"Mcallisterite","Mcallisterite","USA"
"Mcalpineite","Mcalpineite","USA"
"Mcauslanite","Mcauslanite","Canada"
"Mcbirneyite","Mcbirneyite","El Salvador"
"Mcconnellite","Mcconnellite","Guyana"
"Mccrillisite","Mccrillisite","USA"
"Mcgillite","Mcgillite","Canada"
"Mcgovernite","Mcgovernite","USA"
"Mcguinnessite","Mcguinnessite","USA"
"Mckelveyite-(Nd)","Mckelveyite-(Nd)","Russia"
"Mckelveyite-(Y)","Mckelveyite-(Y)","USA"
"Mckinstryite","Mckinstryite","Canada"
"Mcnearite","Mcnearite","France"
"Medaite","Medaite","Italy"
"Medenbachite","Medenbachite","Germany"
"Medvedevite","Medvedevite","Russia"
"Meerschautite","Meerschautite","Italy"
"Megacyclite","Megacyclite","Russia"
"Megakalsilite","Megakalsilite","Russia"
"Megawite","Megawite","Russia"
"Meieranite","Meieranite","South Africa"
"Meierite","Meierite","Canada"
"Meifuite","Meifuite","China"
"Meionite","Meionite","Italy"
"Meisserite","Meisserite","USA"
"Meitnerite","Meitnerite","USA"
"Meixnerite","Meixnerite","Austria"
"Mejillonesite","Mejillonesite","Chile"
"Melanarsite","Melanarsite","Russia"
"Melanocerite-(Ce)","Melanocerite-(Ce)","Norway"
"Melanophlogite","Melanophlogite","Italy"
"Melanostibite","Melanostibite","Sweden"
"Melanotekite","Melanotekite","Sweden"
"Melanothallite","Melanothallite","Italy"
"Melanovanadite","Melanovanadite","Peru"
"Melansonite","Melansonite","Canada"
"Melanterite","Melanterite","unknown"
"Melcherite","Melcherite","Brazil"
"Meliphanite","Meliphanite","Norway"
"Melkovite","Melkovite","Kazakhstan"
"Melliniite","Melliniite","Morocco (meteorite)"
"Mellite","Mellite","Germany"
"Mellizinkalite","Mellizinkalite","Russia"
"Melonite","Melonite","USA"
