"Mineral Name","Mineral Name (plain)","Country of Type Locality"
"Argentopearceite","Argentopearceite","Czech Republic"
"Argentopentlandite","Argentopentlandite","Russia"
"Argentopolybasite","Argentopolybasite","Slovakia"
"Argentopyrite","Argentopyrite","Czech Republic"
"Argentotennantite-(Zn)","Argentotennantite-(Zn)","Kazakhstan"
"Argentotetrahedrite-(Cd)","Argentotetrahedrite-(Cd)","Slovakia"
"Argentotetrahedrite-(Fe)","Argentotetrahedrite-(Fe)","Canada"
"Argentotetrahedrite-(Hg)","Argentotetrahedrite-(Hg)","China"
"Argentotetrahedrite-(Zn)","Argentotetrahedrite-(Zn)","Slovakia / Switzerland"
"Argesite","Argesite","Italy"
"Argutite","Argutite","France"
"Argyrodite","Argyrodite","Germany"
"Arhbarite","Arhbarite","Morocco"
"Ariegilatite","Ariegilatite","Israel"
"Arisite-(Ce)","Arisite-(Ce)","Canada / Namibia"
"Arisite-(La)","Arisite-(La)","Namibia"
"Aristarainite","Aristarainite","Argentina"
"Armalcolite","Armalcolite","Moon"
"Armangite","Armangite","Sweden"
"Armbrusterite","Armbrusterite","Russia"
"Armellinoite-(Ce)","Armellinoite-(Ce)","Italy"
"Armenite","Armenite","Norway"
"Armstrongite","Armstrongite","Mongolia"
"Arrheniusite-(Ce)","Arrheniusite-(Ce)","Sweden"
"Arrojadite-(BaNa)","Arrojadite-(BaNa)","Italy"
"Arrojadite-(KFe)","Arrojadite-(KFe)","Brazil"
"Arrojadite-(KNa)","Arrojadite-(KNa)","Canada"
"Arrojadite-(PbFe)","Arrojadite-(PbFe)","Brazil"
"Arrojadite-(SrFe)","Arrojadite-(SrFe)","Sweden"
"Arsenatrotitanite","Arsenatrotitanite","Russia"
"Arsenbrackebuschite","Arsenbrackebuschite","Namibia / Germany"
"Arsendescloizite","Arsendescloizite","Namibia"
"Arsenic","Arsenic","Germany / Norway"
"Arseniopleite","Arseniopleite","Sweden"
"Arseniosiderite","Arseniosiderite","France"
"Arsenmarcobaldiite","Arsenmarcobaldiite","Italy"
"Arsenmedaite","Arsenmedaite","Italy"
"Arsenoclasite","Arsenoclasite","Sweden"
"Arsenocrandallite","Arsenocrandallite","Germany"
"Arsenoflorencite-(Ce)","Arsenoflorencite-(Ce)","Australia"
"Arsenoflorencite-(La)","Arsenoflorencite-(La)","Russia"
"Arsenogoldfieldite","Arsenogoldfieldite","USA"
"Arsenogorceixite","Arsenogorceixite","Germany"
"Arsenogoyazite","Arsenogoyazite","Germany"
"Arsenohauchecornite","Arsenohauchecornite","Canada"
"Arsenohopeite","Arsenohopeite","Namibia"
"Arsenolamprite","Arsenolamprite","Germany"
"Arsenolite","Arsenolite","Germany"
"Arsenopalladinite","Arsenopalladinite","Brazil"
"Arsenopyrite","Arsenopyrite","?"
"Arsenotučekite","Arsenotucekite","Greece"
"Arsenoústalečite","Arsenoustalecite","Czech Republic"
"Arsenovanmeersscheite","Arsenovanmeersscheite","Germany"
"Arsenoveszelyite","Arsenoveszelyite","China"
"Arsenowagnerite","Arsenowagnerite","Russia"
"Arsenquatrandorite","Arsenquatrandorite","Iran"
"Arsentsumebite","Arsentsumebite","Namibia"
"Arsenudinaite","Arsenudinaite","Russia"
"Arsenuranospathite","Arsenuranospathite","Germany"
"Arsenuranylite","Arsenuranylite","Uzbekistan"
"Arsiccioite","Arsiccioite","Italy"
"Arsmirandite","Arsmirandite","Russia"
"Arthurite","Arthurite","United Kingdom"
